Species,Genotype,Replicate,Genotype_Replicate,Treatment,Photo_Number,Random_Number,Measurement,Result
Mcav,Red,1,Red1,DC,9,11,Exopercent,0.333333333
Mcav,Red,1,Red1,DC,9,,Gastrosep,16.817
Mcav,Red,1,Red1,DC,10,9,Exopercent,0
Mcav,Red,1,Red1,DC,10,,Gastrosep,0
Mcav,Red,1,Red1,DC,,,Zooxarea,0.516929932
Mcav,Red,1,Red1,DC,,,Zooxarea,0.573839212
Mcav,Red,1,Red1,DC,,,Zooxarea,0.413854021
Mcav,Red,1,Red1,DC,,,Zooxarea,0.503662307
Mcav,Red,1,Red1,DC,,,Zooxarea,0.448091013
Mcav,Red,1,Red1,DC,,,Zooxarea,0.52623911
Mcav,Red,1,Red1,DC,,,Zooxarea,0.604393603
Mcav,Red,1,Red1,DC,,,Zooxarea,0.5149716
Mcav,Red,1,Red1,DC,,,Zooxarea,0.556570353
Mcav,Red,1,Red1,DC,,,Zooxarea,0.566541556
Mcav,Red,1,Red1,DC,,,Zooxarea,0.577547679
Mcav,Red,1,Red1,DC,,,Zooxarea,0.590384038
Mcav,Red,1,Red1,DC,,,Zooxarea,0.480900203
Mcav,Red,1,Red1,DC,,,Zooxarea,0.502694241
Mcav,Red,1,Red1,DC,,,Zooxarea,0.660044785
Mcav,Red,1,Red1,DC,,,Zooxarea,0.448901705
Mcav,Red,1,Red1,DC,,,Zooxarea,0.567103612
Mcav,Red,1,Red1,DC,,,Zooxarea,0.540507373
Mcav,Red,1,Red1,DC,,,Zooxarea,0.555010129
Mcav,Red,1,Red1,DC,,,Zooxarea,0.496485853
Mcav,Red,1,Red1,DC,,,Zooxarea,0.65752782
Mcav,Red,1,Red1,DC,,,Zooxarea,0.725186154
Mcav,Red,1,Red1,DC,,,Zooxarea,0.523250029
Mcav,Red,1,Red1,DC,,,Zooxarea,0.579200327
Mcav,Red,1,Red1,DC,,,Zooxarea,0.58631878
Mcav,Red,3,Red3,DC,1,1,Exopercent,0
Mcav,Red,3,Red3,DC,1,,Gastrosep,NA
Mcav,Red,3,Red3,DC,2,5,Exopercent,0
Mcav,Red,3,Red3,DC,2,,Gastrosep,26.28
Mcav,Red,3,Red3,DC,3,10,Exopercent,0
Mcav,Red,3,Red3,DC,3,,Gastrosep,32.784
Mcav,Red,3,Red3,DC,4,4,Exopercent,0
Mcav,Red,3,Red3,DC,4,,Gastrosep,12.811
Mcav,Red,3,Red3,DC,,,Zooxarea,0.370467131
Mcav,Red,3,Red3,DC,,,Zooxarea,0.451599994
Mcav,Red,3,Red3,DC,,,Zooxarea,0.306130042
Mcav,Red,3,Red3,DC,,,Zooxarea,0.445407905
Mcav,Red,3,Red3,DC,,,Zooxarea,0.549887843
Mcav,Red,3,Red3,DC,,,Zooxarea,0.47680319
Mcav,Red,3,Red3,DC,,,Zooxarea,0.311368255
Mcav,Red,3,Red3,DC,,,Zooxarea,0.606824706
Mcav,Red,3,Red3,DC,,,Zooxarea,0.476265062
Mcav,Red,3,Red3,DC,,,Zooxarea,0.542956061
Mcav,Red,3,Red3,DC,,,Zooxarea,0.555735131
Mcav,Red,3,Red3,DC,,,Zooxarea,0.856216957
Mcav,Red,3,Red3,DC,,,Zooxarea,0.758287132
Mcav,Red,3,Red3,DC,,,Zooxarea,0.4592646
Mcav,Red,3,Red3,DC,,,Zooxarea,0.41771972
Mcav,Red,3,Red3,DC,,,Zooxarea,0.383012996
Mcav,Red,3,Red3,DC,,,Zooxarea,0.75831823
Mcav,Red,3,Red3,DC,,,Zooxarea,0.706229125
Mcav,Red,3,Red3,DC,,,Zooxarea,0.482686364
Mcav,Red,3,Red3,DC,,,Zooxarea,0.550529626
Mcav,Red,3,Red3,DC,,,Zooxarea,0.625174936
Mcav,Red,3,Red3,DC,,,Zooxarea,0.725618723
Mcav,Red,3,Red3,DC,,,Zooxarea,0.708832673
Mcav,Red,3,Red3,DC,,,Zooxarea,0.470826066
Mcav,Red,3,Red3,DC,,,Zooxarea,0.515599309
Mcav,Red,3,Red3,DC,5,1,Exopercent,0.125
Mcav,Red,3,Red3,DC,5,,Gastrosep,9.086
Mcav,Red,3,Red3,DC,6,11,Exopercent,0.117647059
Mcav,Red,3,Red3,DC,6,,Gastrosep,0
Mcav,Red,3,Red3,DC,7,10,Exopercent,0.071428571
Mcav,Red,3,Red3,DC,7,,Gastrosep,0
Mcav,Red,3,Red3,DC,8,4,Exopercent,0
Mcav,Red,3,Red3,DC,8,,Gastrosep,7.805
Mcav,Red,3,Red3,DC,9,7,Exopercent,0.285714286
Mcav,Red,3,Red3,DC,9,,Gastrosep,44.16
Mcav,Red,3,Red3,DC,10,5,Exopercent,0
Mcav,Red,3,Red3,DC,10,,Gastrosep,4.809
Mcav,Orange,1,Orange1,DC,1,2,Exopercent,0.25
Mcav,Orange,1,Orange1,DC,1,,Gastrosep,8.025
Mcav,Orange,1,Orange1,DC,2,3,Exopercent,0
Mcav,Orange,1,Orange1,DC,2,,Gastrosep,9.375
Mcav,Orange,1,Orange1,DC,3,10,Exopercent,0.142857143
Mcav,Orange,1,Orange1,DC,3,,Gastrosep,na
Mcav,Orange,1,Orange1,DC,4,5,Exopercent,0
Mcav,Orange,1,Orange1,DC,4,,Gastrosep,16.875
Mcav,Orange,1,Orange1,DC,5,12,Exopercent,0.125
Mcav,Orange,1,Orange1,DC,5,,Gastrosep,0
Mcav,Orange,1,Orange1,DC,6,2,Exopercent,0.4
Mcav,Orange,1,Orange1,DC,6,,Gastrosep,22.81
Mcav,Orange,1,Orange1,DC,7,11,Exopercent,0.066666667
Mcav,Orange,1,Orange1,DC,7,,Gastrosep,10.201
Mcav,Orange,1,Orange1,DC,8,2,Exopercent,0
Mcav,Orange,1,Orange1,DC,8,,Gastrosep,63.09
Mcav,Orange,1,Orange1,DC,10,10,Exopercent,0.25
Mcav,Orange,1,Orange1,DC,10,,Gastrosep,29.773
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.294540969
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.309565815
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.554374516
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.479696093
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.432841383
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.986481082
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.86667985
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.394988159
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.621420025
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.279080722
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.463195552
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.439650759
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.502341467
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.288008918
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.888865878
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.251803146
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.368282486
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.586732958
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.552568021
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.51186689
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.355955796
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.378836697
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.503727453
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.32543546
Mcav,Orange,1,Orange1,DC,,,Zooxarea,0.454777787
Mcav,Orange,3,Orange3,DC,1,3,Exopercent,0
Mcav,Orange,3,Orange3,DC,1,,Gastrosep,27.76
Mcav,Orange,3,Orange3,DC,2,6,Exopercent,0
Mcav,Orange,3,Orange3,DC,2,,Gastrosep,25.15
Mcav,Orange,3,Orange3,DC,3,12,Exopercent,0.25
Mcav,Orange,3,Orange3,DC,3,,Gastrosep,36.792
Mcav,Orange,3,Orange3,DC,4,8,Exopercent,0.111111111
Mcav,Orange,3,Orange3,DC,4,,Gastrosep,19.932
Mcav,Orange,3,Orange3,DC,5,9,Exopercent,0
Mcav,Orange,3,Orange3,DC,5,,Gastrosep,48.031
Mcav,Orange,3,Orange3,DC,6,10,Exopercent,0.157894737
Mcav,Orange,3,Orange3,DC,6,,Gastrosep,22.946
Mcav,Orange,3,Orange3,DC,7,5,Exopercent,0.428571429
Mcav,Orange,3,Orange3,DC,7,,Gastrosep,25.831
Mcav,Orange,3,Orange3,DC,8,2,Exopercent,0.230769231
Mcav,Orange,3,Orange3,DC,8,,Gastrosep,73.609
Mcav,Orange,3,Orange3,DC,9,10,Exopercent,0
Mcav,Orange,3,Orange3,DC,9,,Gastrosep,NA
Mcav,Orange,3,Orange3,DC,10,3,Exopercent,0
Mcav,Orange,3,Orange3,DC,10,,Gastrosep,14.873
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.55512518
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.61546728
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.574044666
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.428754329
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.746173417
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.700071937
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.628823826
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.60498367
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.310569868
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.693828987
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.658390886
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.64317389
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.581917774
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.571905898
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.668074324
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.543655937
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.441827048
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.587246377
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.395734457
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.51600363
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.44624417
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.503606257
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.450711262
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.409632599
Mcav,Orange,3,Orange3,DC,,,Zooxarea,0.446707948
Mcav,Red,2,Red2,DC,1,6,Exopercent,0
Mcav,Red,2,Red2,DC,1,,Gastrosep,15
Mcav,Red,2,Red2,DC,2,1,Exopercent,0.222222222
Mcav,Red,2,Red2,DC,2,,Gastrosep,26.943
Mcav,Red,2,Red2,DC,3,5,Exopercent,0.2
Mcav,Red,2,Red2,DC,3,,Gastrosep,0
Mcav,Red,2,Red2,DC,4,11,Exopercent,0.333333333
Mcav,Red,2,Red2,DC,4,,Gastrosep,17.172
Mcav,Red,2,Red2,DC,5,3,Exopercent,0
Mcav,Red,2,Red2,DC,5,,Gastrosep,30.55
Mcav,Red,2,Red2,DC,6,11,Exopercent,0.142857143
Mcav,Red,2,Red2,DC,6,,Gastrosep,20.652
Mcav,Red,2,Red2,DC,7,9,Exopercent,0.076923077
Mcav,Red,2,Red2,DC,7,,Gastrosep,22.541
Mcav,Red,2,Red2,DC,8,4,Exopercent,0.181818182
Mcav,Red,2,Red2,DC,8,,Gastrosep,19.761
Mcav,Red,2,Red2,DC,9,1,Exopercent,0.181818182
Mcav,Red,2,Red2,DC,9,,Gastrosep,23.192
Mcav,Red,2,Red2,DC,10,10,Exopercent,0.375
Mcav,Red,2,Red2,DC,10,,Gastrosep,20.963
Mcav,Red,2,Red2,DC,,,Zooxarea,0.555250576
Mcav,Red,2,Red2,DC,,,Zooxarea,0.440230749
Mcav,Red,2,Red2,DC,,,Zooxarea,0.451672316
Mcav,Red,2,Red2,DC,,,Zooxarea,0.3507182
Mcav,Red,2,Red2,DC,,,Zooxarea,0.327974699
Mcav,Red,2,Red2,DC,,,Zooxarea,0.530417084
Mcav,Red,2,Red2,DC,,,Zooxarea,0.487370703
Mcav,Red,2,Red2,DC,,,Zooxarea,0.514277629
Mcav,Red,2,Red2,DC,,,Zooxarea,0.403034678
Mcav,Red,2,Red2,DC,,,Zooxarea,0.700168885
Mcav,Red,2,Red2,DC,,,Zooxarea,0.720064257
Mcav,Red,2,Red2,DC,,,Zooxarea,0.37857083
Mcav,Red,2,Red2,DC,,,Zooxarea,0.512931711
Mcav,Red,2,Red2,DC,,,Zooxarea,0.372149681
Mcav,Red,2,Red2,DC,,,Zooxarea,0.32179717
Mcav,Red,2,Red2,DC,,,Zooxarea,0.458793837
Mcav,Red,2,Red2,DC,,,Zooxarea,0.572711936
Mcav,Red,2,Red2,DC,,,Zooxarea,0.411310606
Mcav,Red,2,Red2,DC,,,Zooxarea,0.473590809
Mcav,Red,2,Red2,DC,,,Zooxarea,0.403028732
Mcav,Red,2,Red2,DC,,,Zooxarea,0.505807651
Mcav,Red,2,Red2,DC,,,Zooxarea,0.564765885
Mcav,Red,2,Red2,DC,,,Zooxarea,0.54448331
Mcav,Red,2,Red2,DC,,,Zooxarea,0.382205925
Mcav,Red,2,Red2,DC,,,Zooxarea,0.367819138
Ofav,Red,3,Red3,DC,6,3,Exopercent,0.125
Ofav,Red,3,Red3,DC,6,,Gastrosep,NA
Ofav,Red,3,Red3,DC,10,7,Exopercent,0.090909091
Ofav,Red,3,Red3,DC,10,,Gastrosep,16.211
Ofav,Red,3,Red3,DC,1,7,Exopercent,0.166666667
Ofav,Red,3,Red3,DC,1,,Gastrosep,24.354
Ofav,Red,3,Red3,DC,2,7,Exopercent,0.2
Ofav,Red,3,Red3,DC,2,,Gastrosep,28.958
Ofav,Red,3,Red3,DC,3,4,Exopercent,0.285714286
Ofav,Red,3,Red3,DC,3,,Gastrosep,0
Ofav,Red,3,Red3,DC,4,1,Exopercent,0.5
Ofav,Red,3,Red3,DC,4,,Gastrosep,NA
Ofav,Red,3,Red3,DC,5,11,Exopercent,0.125
Ofav,Red,3,Red3,DC,5,,Gastrosep,NA
Ofav,Red,3,Red3,DC,7,3,Exopercent,0
Ofav,Red,3,Red3,DC,7,,Gastrosep,15.052
Ofav,Red,3,Red3,DC,8,7,Exopercent,0.285714286
Ofav,Red,3,Red3,DC,8,,Gastrosep,19.482
Ofav,Red,3,Red3,DC,9,11,Exopercent,0.1
Ofav,Red,3,Red3,DC,9,,Gastrosep,NA
Ofav,Red,3,Red3,DC,,,Zooxarea,0.729698756
Ofav,Red,3,Red3,DC,,,Zooxarea,0.490546993
Ofav,Red,3,Red3,DC,,,Zooxarea,0.575705125
Ofav,Red,3,Red3,DC,,,Zooxarea,0.59305618
Ofav,Red,3,Red3,DC,,,Zooxarea,0.533894906
Ofav,Red,3,Red3,DC,,,Zooxarea,0.590708272
Ofav,Red,3,Red3,DC,,,Zooxarea,0.372008767
Ofav,Red,3,Red3,DC,,,Zooxarea,0.479931725
Ofav,Red,3,Red3,DC,,,Zooxarea,0.437237
Ofav,Red,3,Red3,DC,,,Zooxarea,0.468213203
Ofav,Red,3,Red3,DC,,,Zooxarea,0.245567376
Ofav,Red,3,Red3,DC,,,Zooxarea,0.403282132
Ofav,Red,3,Red3,DC,,,Zooxarea,0.190223512
Ofav,Red,3,Red3,DC,,,Zooxarea,0.713404193
Ofav,Red,3,Red3,DC,,,Zooxarea,0.271064362
Ofav,Red,3,Red3,DC,,,Zooxarea,0.415712923
Ofav,Red,3,Red3,DC,,,Zooxarea,0.316997017
Ofav,Red,3,Red3,DC,,,Zooxarea,0.415804417
Ofav,Red,3,Red3,DC,,,Zooxarea,0.364748465
Ofav,Red,3,Red3,DC,,,Zooxarea,0.307113833
Ofav,Red,3,Red3,DC,,,Zooxarea,0.47035083
Ofav,Red,3,Red3,DC,,,Zooxarea,0.439885528
Ofav,Red,3,Red3,DC,,,Zooxarea,0.563075125
Ofav,Red,3,Red3,DC,,,Zooxarea,0.502691109
Ofav,Red,3,Red3,DC,,,Zooxarea,0.354927981
Ofav,Red,1,Red1,DC,1,5,Gastrosep,NA
Ofav,Red,1,Red1,DC,1,,Exopercent,0.2
Ofav,Red,1,Red1,DC,2,12,Gastrosep,NA
Ofav,Red,1,Red1,DC,2,,Exopercent,0.1
Ofav,Red,1,Red1,DC,3,8,Exopercent,0.333333333
Ofav,Red,1,Red1,DC,3,,Gastrosep,NA
Ofav,Red,1,Red1,DC,4,2,Exopercent,0.2
Ofav,Red,1,Red1,DC,4,,Gastrosep,NA
Ofav,Red,1,Red1,DC,,,Zooxarea,0.397917129
Ofav,Red,1,Red1,DC,,,Zooxarea,0.517715373
Ofav,Red,1,Red1,DC,,,Zooxarea,0.438485886
Ofav,Red,1,Red1,DC,,,Zooxarea,0.515657378
Ofav,Red,1,Red1,DC,,,Zooxarea,0.507943628
Ofav,Red,1,Red1,DC,,,Zooxarea,0.349628003
Ofav,Red,1,Red1,DC,,,Zooxarea,0.453373954
Ofav,Red,1,Red1,DC,,,Zooxarea,0.430515022
Ofav,Red,1,Red1,DC,,,Zooxarea,0.42276268
Ofav,Red,1,Red1,DC,,,Zooxarea,0.373693094
Ofav,Red,1,Red1,DC,,,Zooxarea,0.674698622
Ofav,Red,1,Red1,DC,,,Zooxarea,0.488608814
Ofav,Red,1,Red1,DC,,,Zooxarea,0.45630744
Ofav,Red,1,Red1,DC,,,Zooxarea,0.423298639
Ofav,Red,1,Red1,DC,,,Zooxarea,0.289819413
Ofav,Red,1,Red1,DC,,,Zooxarea,0.448557522
Ofav,Red,1,Red1,DC,,,Zooxarea,0.490496205
Ofav,Red,1,Red1,DC,,,Zooxarea,0.226001404
Ofav,Red,1,Red1,DC,,,Zooxarea,0.47616317
Ofav,Red,1,Red1,DC,,,Zooxarea,0.444152623
Ofav,Red,1,Red1,DC,,,Zooxarea,0.446084889
Ofav,Red,1,Red1,DC,,,Zooxarea,0.413148721
Ofav,Red,1,Red1,DC,,,Zooxarea,0.323505716
Ofav,Red,1,Red1,DC,,,Zooxarea,0.338225722
Ofav,Red,1,Red1,DC,,,Zooxarea,0.268737981
Ofav,Red,1,Red1,DC,5,3,Exopercent,0
Ofav,Red,1,Red1,DC,5,,Gastrosep,61.881
Ofav,Red,1,Red1,DC,6,8,Exopercent,0.25
Ofav,Red,1,Red1,DC,6,,Gastrosep,36.177
Ofav,Red,1,Red1,DC,7,7,Exopercent,0
Ofav,Red,1,Red1,DC,7,,Gastrosep,42.532
Ofav,Red,2,Red2,DC,1,10,Exopercent,0.071428571
Ofav,Red,2,Red2,DC,1,,Gastrosep,NA
Ofav,Red,2,Red2,DC,2,12,Exopercent,0.5
Ofav,Red,2,Red2,DC,2,,Gastrosep,NA
Ofav,Red,2,Red2,DC,3,12,Exopercent,0.25
Ofav,Red,2,Red2,DC,3,,Gastrosep,23.2
Ofav,Red,2,Red2,DC,4,6,Exopercent,0
Ofav,Red,2,Red2,DC,4,,Gastrosep,32.463
Ofav,Red,2,Red2,DC,5,8,Exopercent,0
Ofav,Red,2,Red2,DC,5,,Gastrosep,43.781
Ofav,Red,2,Red2,DC,,,Zooxarea,0.557781563
Ofav,Red,2,Red2,DC,,,Zooxarea,0.437601965
Ofav,Red,2,Red2,DC,,,Zooxarea,0.743764034
Ofav,Red,2,Red2,DC,,,Zooxarea,0.333502805
Ofav,Red,2,Red2,DC,,,Zooxarea,0.320658203
Ofav,Red,2,Red2,DC,,,Zooxarea,0.570819399
Ofav,Red,2,Red2,DC,,,Zooxarea,0.480830421
Ofav,Red,2,Red2,DC,,,Zooxarea,0.390184232
Ofav,Red,2,Red2,DC,,,Zooxarea,0.374596209
Ofav,Red,2,Red2,DC,,,Zooxarea,0.569967609
Ofav,Red,2,Red2,DC,,,Zooxarea,0.381910751
Ofav,Red,2,Red2,DC,,,Zooxarea,0.597807195
Ofav,Red,2,Red2,DC,,,Zooxarea,0.596572892
Ofav,Red,2,Red2,DC,,,Zooxarea,0.477348712
Ofav,Red,2,Red2,DC,,,Zooxarea,0.547697477
Ofav,Red,2,Red2,DC,,,Zooxarea,0.468201977
Ofav,Red,2,Red2,DC,,,Zooxarea,0.354330132
Ofav,Red,2,Red2,DC,,,Zooxarea,0.281307845
Ofav,Red,2,Red2,DC,,,Zooxarea,0.432383708
Ofav,Red,2,Red2,DC,,,Zooxarea,0.446930014
Ofav,Red,2,Red2,DC,,,Zooxarea,0.340330251
Ofav,Red,2,Red2,DC,,,Zooxarea,0.592399923
Ofav,Red,2,Red2,DC,,,Zooxarea,0.500137202
Ofav,Red,2,Red2,DC,,,Zooxarea,0.532131812
Ofav,Red,2,Red2,DC,,,Zooxarea,0.490644542
Ofav,Red,2,Red2,DC,6,11,Exopercent,0.25
Ofav,Red,2,Red2,DC,6,,Gastrosep,27.8
Ofav,Red,2,Red2,DC,7,7,Exopercent,0
Ofav,Red,2,Red2,DC,7,,Gastrosep,40.186
Ofav,Red,2,Red2,DC,8,2,Exopercent,0
Ofav,Red,2,Red2,DC,8,,Gastrosep,60.751
Ofav,Yellow,1,Yellow1,DC,1,9,Exopercent,0
Ofav,Yellow,1,Yellow1,DC,1,,Gastrosep,28.153
Ofav,Yellow,1,Yellow1,DC,2,8,Exopercent,0
Ofav,Yellow,1,Yellow1,DC,2,,Gastrosep,25.085
Ofav,Yellow,1,Yellow1,DC,3,9,Exopercent,0
Ofav,Yellow,1,Yellow1,DC,3,,Gastrosep,28.224
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.662923459
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.631302703
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.533348492
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.672944317
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.534222
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.345717684
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.55545387
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.448165892
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.416409154
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.486048318
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.598270702
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.396272302
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.522394856
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.598095959
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.464656266
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.60632807
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.443117871
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.614920624
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.603456148
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.304680314
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.338960226
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.437652468
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.512709697
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.556545761
Ofav,Yellow,1,Yellow1,DC,,,Zooxarea,0.513375926
Ofav,Yellow,1,Yellow1,DC,4,3,Exopercent,0
Ofav,Yellow,1,Yellow1,DC,4,,Gastrosep,19.345
Ofav,Yellow,1,Yellow1,DC,5,2,Exopercent,0
Ofav,Yellow,1,Yellow1,DC,5,,Gastrosep,0
Ofav,Yellow,1,Yellow1,DC,6,7,Exopercent,0
Ofav,Yellow,1,Yellow1,DC,6,,Gastrosep,18.235
Ofav,Yellow,1,Yellow1,DC,7,7,Exopercent,0
